title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
SYN cookies|None|1996|209|0|11565187267146778866|None|http://scholar.google.com/scholar?cites=11565187267146778866&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
Circuits for integer factorization: a proposal|http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf|2001|74|11|4656639988458306348|http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf|http://scholar.google.com/scholar?cites=4656639988458306348&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=4656639988458306348&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract. The number field sieve takes time 1de01hhhiol1o on a generalpurpose computer with 0dey0hhhiol1o bits of memory; here is a particular subexponential function of the input size. It takes the same time on a parallel trial-division machine, such as Cracker or  ...
Multidigit multiplication for mathematicians|http://scholar.google.com/ftp://164.41.45.4/pub/misc/bernstein/pub/papers/m3.ps|2001|71|6|3639797899326555781|None|http://scholar.google.com/scholar?cites=3639797899326555781&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3639797899326555781&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract. This paper surveys techniques for multiplying elements of various commutative rings. It covers Karatsuba multiplication, dual Karatsuba multiplication, Toom multiplication, dual Toom multiplication, the FFT trick, the twisted FFT trick, the split-radix FFT trick,  ...
Comments on perrin's “effective use and misuse of performance measurement”|http://www.sciencedirect.com/science/article/pii/S1098214099801106|2000|42|2|7457375043211399593|None|http://scholar.google.com/scholar?cites=7457375043211399593&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=7457375043211399593&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Perrin (1998) has provided an interesting and necessary discussion of performance measurement that is surely needed in the evaluation community. As an experienced evaluator, Pert-in's view on the pitfalls of performance measurement, and steps that can  ...
A randomised, blinded, trial of clopidogrel versus aspirin in patients at risk of ischaemic events (CAPRIE). CAPRIE Steering Committee.|http://europepmc.org/abstract/MED/8918275|1996|4588|7|13225801669131666686|None|http://scholar.google.com/scholar?cites=13225801669131666686&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13225801669131666686&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|BACKGROUND: Many clinical trials have evaluated the benefit of long-term use of antiplatelet drugs in reducing the risk of clinical thrombotic events. Aspirin and ticlopidine have been shown to be effective, but both have potentially serious adverse effects.  ...
Local government measurement use to focus on performance and results|http://www.sciencedirect.com/science/article/pii/S0149718900000501|2001|38|6|14765485423010250387|None|http://scholar.google.com/scholar?cites=14765485423010250387&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14765485423010250387&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|This paper discusses research results from five case studies of local governments with extensive experience in developing and using performance measures to support program monitoring and improved service performance. The research was sponsored by the  ...
How to stretch random functions: the security of protected counter sums|http://link.springer.com/article/10.1007/s001459900051|1999|31|12|12666583116573960921|None|http://scholar.google.com/scholar?cites=12666583116573960921&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12666583116573960921&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract. Let f be an unpredictable random function taking (b+ c)-bit inputs to b-bit outputs. This paper presents an unpredictable random function f'taking variable-length inputs to b-bit outputs. This construction has several advantages over chaining, which was proven  ...
A departmental system for balancing the development and evaluation of college teaching: A commentary on Cavanagh|http://link.springer.com/article/10.1007/BF01185799|1996|30|3|6762495033141963105|None|http://scholar.google.com/scholar?cites=6762495033141963105&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6762495033141963105&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract The frank identification of specific areas for improvement is a central feature of a program to develop teaching skills in college teachers, but the preparation of such statements is not encouraged in a strongly evaluative climate. A useful mix of  ...
THE 3jc+ 1 CONJUGACY MAP|http://books.google.com/books?hl=en&lr=&id=o0LzmtZvB58C&oi=fnd&pg=PA1154&dq=dj+bernstein&ots=ADdDanwm56&sig=6CdNlG9LAIKqbqhfxWMtzCfMO9c|1996|25|3|13154369602954346629|None|http://scholar.google.com/scholar?cites=13154369602954346629&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13154369602954346629&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract The 3x+ 1 map T and the shift map S are defined by T (x)=(3jr+ 1)/2 for x odd, T (x)= x/2 for x even, while S (x)=(x—l)/2 for x odd, S (x)= x/2 for x even. The 3x+ 1 conjugacy map O on the 2-adic integers Z2 conjugates S to T, ie,< t> o S od>-i= T. The map O mod 2"  ...
An examination of the implementation of peer review of teaching|http://onlinelibrary.wiley.com/doi/10.1002/tl.8306/abstract|2000|26|2|12594093309187479946|None|http://scholar.google.com/scholar?cites=12594093309187479946&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12594093309187479946&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Peer review of teaching will likely play an increasing role in the summative arena as well as its current formative use. This chapter offers a description of a campuswide program to provide faculty with an opportunity to under- take substantive peer review of a course. The model of  ... 
Floating-point arithmetic and message authentication|http://scholar.google.com/ftp://ftp.task.gda.pl/vol/vol1/mirror.qmail.org/koobera/www/papers/hash127.ps|2000|23|5|12837592825782458888|None|http://scholar.google.com/scholar?cites=12837592825782458888&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12837592825782458888&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract. There is a well-known class of message authentication systems guaranteeing that attackers will have a negligible chance of successfully forging a message. This paper shows how one of these systems can hash messages at extremely high speed| much more  ...
Linux kernel SYN cookies firewall project|None|1997|23|0|11862449364311203166|None|http://scholar.google.com/scholar?cites=11862449364311203166&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
HER-2/neu gene amplification characterized by fluorescence in situ hybridization: poor prognosis in node-negative breast carcinomas.|http://jco.ascopubs.org/content/15/8/2894.short|1997|711|4|14672423091085728145|None|http://scholar.google.com/scholar?cites=14672423091085728145&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14672423091085728145&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|PURPOSE The HER-2/neu gene codes for a membrane receptor protein that is homologous, but distinct from the epidermal growth factor receptor. This investigation was performed to validate fluorescence in situ hybridization (FISH) as a sensitive and specific  ...
Faster square roots in annoying finite fields|http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.21.9172|2001|17|0|1574204449581012997|None|http://scholar.google.com/scholar?cites=1574204449581012997&as_sdt=2005&sciodt=0,5&hl=en|None|None|Abstract Let q be an odd prime number. There are several methods known to compute square roots in Z= q: the quadratic-extension methods of Legendre, Pocklington, Cipolla, Lehmer, et al., and the discrete-logarithm methods of Tonelli, Shanks, et al. The quadratic- ...
Composing power series over a finite ring in essentially linear time|http://www.sciencedirect.com/science/article/pii/S0747717198902164|1998|15|9|10259120422288320396|None|http://scholar.google.com/scholar?cites=10259120422288320396&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=10259120422288320396&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Fix a finite commutative ringR. Letuandvbe power series overR, withv (0)= 0. This paper presents an algorithm that computes the firstnterms of the compositionu (v), given the firstnterms ofuandv, inn1+ o (1) ring operations. The algorithm is very fast in practice  ...
Using maildir format|None|1995|16|0|3037983279045075227|None|http://scholar.google.com/scholar?cites=3037983279045075227&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
How to find small factors of integers|http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.29.755|2000|15|0|12413158498604392156|None|http://scholar.google.com/scholar?cites=12413158498604392156&as_sdt=2005&sciodt=0,5&hl=en|None|None|Abstract. This paper presents an algorithm that, given a set of positive integers, nds all the prime factors y of each integer. If there are y=(lg y) O (1) integers, each with (lg y) O (1) bits, then the algorithm takes time (lg y) O (1) per integer. This is useful in congruence- ...
Ethanol consumption and resistance are inversely related to neuropeptide Y levels|http://www.nature.com/nature/journal/v396/n6709/abs/396366a0.html|1998|403|8|8101526089029779967|None|http://scholar.google.com/scholar?cites=8101526089029779967&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=8101526089029779967&hl=en&as_sdt=0,5&as_ylo=1995&as_yhi=2001|None|Abstract Genetic linkage analysis of rats that were selectively bred for alcohol preference identified a chromosomal region that includes the neuropeptide Y (NPY) gene 1. Alcohol-preferring rats have lower levels of NPY in several brain regions compared with alcohol- ...
