title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Smaller decoding exponents: ball-collision decoding|http://link.springer.com/chapter/10.1007/978-3-642-22792-9_42|2011|73|13|5131706635202362866|None|http://scholar.google.com/scholar?cites=5131706635202362866&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5131706635202362866&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract Very few public-key cryptosystems are known that can encrypt and decrypt in time b 2+ o (1) with conjectured security level 2 b against conventional computers and quantum computers. The oldest of these systems is the classic McEliece code-based cryptosystem.  ...
High-speed high-security signatures|http://link.springer.com/article/10.1007/s13389-012-0027-1|2012|57|34|5314879900669895689|None|http://scholar.google.com/scholar?cites=5314879900669895689&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=5314879900669895689&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract This paper shows that a $390 mass-market quad-core 2.4 GHz Intel Westmere (Xeon E5620) CPU can create 109000 signatures per second and verify 71000 signatures per second on an elliptic curve at a 2 128 security level. Public keys are 32 bytes, and  ...
Wild mceliece|http://link.springer.com/chapter/10.1007/978-3-642-19574-7_10|2011|38|12|13991052848057310127|None|http://scholar.google.com/scholar?cites=13991052848057310127&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13991052848057310127&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract The original McEliece cryptosystem uses length-n codes over F 2 with dimension≥ n− mt efficiently correcting t errors where 2 m≥ n. This paper presents a generalized cryptosystem that uses length-n codes over small finite fields F q with dimension≥ n− m (q ...
List decoding for binary Goppa codes|http://link.springer.com/chapter/10.1007/978-3-642-20901-7_4|2011|32|17|3859473198578031439|None|http://scholar.google.com/scholar?cites=3859473198578031439&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3859473198578031439&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract This paper presents a Patterson-style list-decoding algorithm for classical irreducible binary Goppa codes. The algorithm corrects, in polynomial time, approximately nn(n-2t-2) errors in a length-n classical irreducible degree-t binary Goppa code.  ...
NEON crypto|http://link.springer.com/chapter/10.1007/978-3-642-33027-8_19|2012|34|17|9501526669409581046|None|http://scholar.google.com/scholar?cites=9501526669409581046&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=9501526669409581046&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract NEON is a vector instruction set included in a large fraction of new ARM-based tablets and smartphones. This paper shows that NEON supports high-security cryptography at surprisingly high speeds; normally data arrives at lower speeds, giving the CPU time to  ...
Grover vs. mceliece|http://link.springer.com/content/pdf/10.1007/978-3-642-12929-2_6.pdf|2010|30|11|15581160368338545235|http://link.springer.com/content/pdf/10.1007/978-3-642-12929-2_6.pdf|http://scholar.google.com/scholar?cites=15581160368338545235&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=15581160368338545235&hl=en&as_sdt=0,5&as_ylo=2010|None|Assume that large quantum computers are built, and that they scale as smoothly as one could possibly hope. Shor's algorithm and its generalizations will then completely break RSA, DSA, ECDSA, and many other popular cryptographic systems: for example, a quantum  ... 
Syn cookies,(1997)|None|2010|27|0|6722781388719341643|None|http://scholar.google.com/scholar?cites=6722781388719341643&as_sdt=2005&sciodt=0,5&hl=en|None|None|None
The security impact of a new cryptographic library|http://link.springer.com/chapter/10.1007/978-3-642-33481-8_9|2012|28|16|3690993470251999953|None|http://scholar.google.com/scholar?cites=3690993470251999953&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3690993470251999953&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract This paper introduces a new cryptographic library, NaCl, and explains how the design and implementation of the library avoid various types of cryptographic disasters suffered by previous cryptographic libraries such as OpenSSL. Specifically, this paper  ...
SipHash: a fast short-input PRF|http://link.springer.com/chapter/10.1007/978-3-642-34931-7_28|2012|29|17|6433503723587620144|None|http://scholar.google.com/scholar?cites=6433503723587620144&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6433503723587620144&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract SipHash is a family of pseudorandom functions optimized for short inputs. Target applications include network traffic authentication and hash-table lookups protected against hash-flooding denial-of-service attacks. SipHash is simpler than MACs based on universal  ...
Toward a scientist-educator model of teaching psychology.|http://psycnet.apa.org/books/12063/002|2010|21|0|18092709001734013144|None|http://scholar.google.com/scholar?cites=18092709001734013144&as_sdt=2005&sciodt=0,5&hl=en|None|None|Abstract 1. At some point in the distant past, teaching undergraduate psychology was straightforward. A college professor with a doctorate in psychology gave lectures to a group of young people whose main occupation was being a student. Today, psychologists'  ...
ECC2K-130 on Nvidia GPUs|http://link.springer.com/chapter/10.1007/978-3-642-17401-8_23|2010|17|13|3967641512066778237|None|http://scholar.google.com/scholar?cites=3967641512066778237&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=3967641512066778237&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract A major cryptanalytic computation is currently underway on multiple platforms, including standard CPUs, FPGAs, PlayStations and Graphics Processing Units (GPUs), to break the Certicom ECC2K-130 challenge. This challenge is to compute an elliptic-curve  ...
Really fast syndrome-based hashing|http://link.springer.com/chapter/10.1007/978-3-642-21969-6_9|2011|16|21|12812450042064275851|None|http://scholar.google.com/scholar?cites=12812450042064275851&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=12812450042064275851&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract The FSB (fast syndrome-based) hash function was submitted to the SHA-3 competition by Augot, Finiasz, Gaborit, Manuel, and Sendrier in 2008, after preliminary designs proposed in 2003, 2005, and 2007. Many FSB parameter choices were broken by  ...
On the correct use of the negation map in the Pollard rho method|http://link.springer.com/chapter/10.1007/978-3-642-19379-8_8|2011|19|15|17433851972365562973|None|http://scholar.google.com/scholar?cites=17433851972365562973&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=17433851972365562973&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract Bos, Kaihara, Kleinjung, Lenstra, and Montgomery recently showed that ECDLPs on the 112-bit secp112r1 curve can be solved in an expected time of 65 years on a PlayStation 3. This paper shows how to solve the same ECDLPs at almost twice the speed  ...
Type-II optimal polynomial bases|http://link.springer.com/chapter/10.1007/978-3-642-13797-6_4|2010|14|11|16336970468073653598|None|http://scholar.google.com/scholar?cites=16336970468073653598&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=16336970468073653598&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract In the 1990s and early 2000s several papers investigated the relative merits of polynomial-basis and normal-basis computations for F _2^n. Even for particularly squaring-friendly applications, such as implementations of Koblitz curves, normal bases fell behind  ...
A complete set of addition laws for incomplete Edwards curves|http://www.sciencedirect.com/science/article/pii/S0022314X10002155|2011|16|8|13196565957108482435|None|http://scholar.google.com/scholar?cites=13196565957108482435&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=13196565957108482435&hl=en&as_sdt=0,5&as_ylo=2010|None|Edwards curves were the first curves shown to have a complete addition law. However, the completeness of the addition law depends on the curve parameters and even a complete Edwards curve becomes incomplete over a quadratic field extension. This paper covers  ...
On the Security of RC4 in TLS.|http://scholar.google.com/https://www.usenix.org/sites/default/files/conference/protected-files/alfardan_sec13_slides.pdf|2013|24|9|15515366035036350777|http://scholar.google.com/https://www.usenix.org/sites/default/files/conference/protected-files/alfardan_sec13_slides.pdf|http://scholar.google.com/scholar?cites=15515366035036350777&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=15515366035036350777&hl=en&as_sdt=0,5&as_ylo=2010|None|Page 1. On the Security of RC4 in TLS Nadhem AlFardan, Dan Bernstein, Kenny Paterson,Bertram Poettering, Jacob Schuldt Royal Holloway, University of London University ofIllinois at Chicago http://www.isg.rhul.ac.uk/tls/ Page 2. Agenda ...
Simplified high-speed high-distance list decoding for alternant codes|http://link.springer.com/chapter/10.1007/978-3-642-25405-5_13|2011|12|10|14067511278342061529|None|http://scholar.google.com/scholar?cites=14067511278342061529&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=14067511278342061529&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract This paper presents a simplified list-decoding algorithm to correct any number w of errors in any alternant code of any length n with any designed distance t+ 1 over any finite field F q; in particular, in the classical Goppa codes used in the McEliece and Niederreiter  ...
Curves, Codes, and Cryptography|http://orbit.dtu.dk/fedora/objects/orbit:88741/datastreams/file_6292900/content|2011|12|0|17107219703068930166|None|http://scholar.google.com/scholar?cites=17107219703068930166&as_sdt=2005&sciodt=0,5&hl=en|None|None|Elliptic curves and error-correcting codes are the mathematical objects investigated in this thesis for cryptographic applications. The main focus lies on public-key cryptography but also a code-based hash function is investigated. Public-key cryptography was invented by  ...
Characterization of a rare IL-10–competent B-cell subset in humans that parallels mouse regulatory B10 cells|http://bloodjournal.hematologylibrary.org/content/117/2/530.short|2011|290|7|7610219220916393118|None|http://scholar.google.com/scholar?cites=7610219220916393118&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=7610219220916393118&hl=en&as_sdt=0,5&as_ylo=2010|None|Abstract Regulatory B cells control inflammation and autoimmunity in mice, including the recently identified IL-10–competent B10 cell subset that represents 1% to 3% of spleen B cells. In this study, a comparable IL-10–competent B10 cell subset was characterized in  ...
Endothelial cells are essential for the self-renewal and repopulation of Notch-dependent hematopoietic stem cells|http://www.sciencedirect.com/science/article/pii/S1934590910000457|2010|254|10|6067093482823581674|None|http://scholar.google.com/scholar?cites=6067093482823581674&as_sdt=2005&sciodt=0,5&hl=en|http://scholar.google.com/scholar?cluster=6067093482823581674&hl=en&as_sdt=0,5&as_ylo=2010|None|Bone marrow endothelial cells (ECs) are essential for reconstitution of hematopoiesis, but their role in self-renewal of long-term hematopoietic stem cells (LT-HSCs) is unknown. We have developed angiogenic models to demonstrate that EC-derived angiocrine growth  ...
