title,url,year,num_citations,num_versions,cluster_id,url_pdf,url_citations,url_versions,url_citation,excerpt
A general number field sieve implementation,http://link.springer.com/chapter/10.1007/BFb0091541,1993,45,3,5.15559E+18,None,http://scholar.google.com/scholar?cites=5155590512166468765&as_sdt=2005&sciodt=0,,,
A noniterative 2-adic statement of the 3_ù‘Å+ 1 conjecture,http://www.ams.org/proc/1994-121-02/S0002-9939-1994-1186982-9/,1994,29,5,9.91921E+17,None,http://scholar.google.com/scholar?cites=991921078422795569&as_sdt=2005&sciodt=0,,,
Using maildir format,None,1995,16,0,3.03798E+18,None,http://scholar.google.com/scholar?cites=3037983279045075227&as_sdt=2005&sciodt=0,,,
THE 3jc+ 1 CONJUGACY MAP,http://books.google.com/books?hl=en&lr=&id=o0LzmtZvB58C&oi=fnd&pg=PA1154&dq=dj+bernstein&ots=ADdDanwm56&sig=6CdNlG9LAIKqbqhfxWMtzCfMO9c,1996,25,3,1.31544E+19,None,http://scholar.google.com/scholar?cites=13154369602954346629&as_sdt=2005&sciodt=0,,,
SYN cookies,None,1996,209,0,1.15652E+19,None,http://scholar.google.com/scholar?cites=11565187267146778866&as_sdt=2005&sciodt=0,,,
Linux kernel SYN cookies firewall project,None,1997,23,0,1.18624E+19,None,http://scholar.google.com/scholar?cites=11862449364311203166&as_sdt=2005&sciodt=0,,,
Composing power series over a finite ring in essentially linear time,http://www.sciencedirect.com/science/article/pii/S0747717198902164,1998,15,9,1.02591E+19,None,http://scholar.google.com/scholar?cites=10259120422288320396&as_sdt=2005&sciodt=0,,,
How to stretch random functions: the security of protected counter sums,http://link.springer.com/article/10.1007/s001459900051,1999,31,12,1.26666E+19,None,http://scholar.google.com/scholar?cites=12666583116573960921&as_sdt=2005&sciodt=0,,,
How to find small factors of integers,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.29.755,2000,15,0,1.24132E+19,None,http://scholar.google.com/scholar?cites=12413158498604392156&as_sdt=2005&sciodt=0,,,
Floating-point arithmetic and message authentication,http://scholar.google.com/ftp://ftp.task.gda.pl/vol/vol1/mirror.qmail.org/koobera/www/papers/hash127.ps,2000,23,5,1.28376E+19,None,http://scholar.google.com/scholar?cites=12837592825782458888&as_sdt=2005&sciodt=0,,,
Multidigit multiplication for mathematicians,http://scholar.google.com/ftp://164.41.45.4/pub/misc/bernstein/pub/papers/m3.ps,2001,71,6,3.6398E+18,None,http://scholar.google.com/scholar?cites=3639797899326555781&as_sdt=2005&sciodt=0,,,
Faster square roots in annoying finite fields,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.21.9172,2001,17,0,1.5742E+18,None,http://scholar.google.com/scholar?cites=1574204449581012997&as_sdt=2005&sciodt=0,,,
Circuits for integer factorization: a proposal,http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf,2001,74,11,4.65664E+18,http://flsdemo.nrcfoss.au-kbc.org.in/content/docs/Qmail/qmail/papers/nfscircuit.pdf,http://scholar.google.com/scholar?cites=4656639988458306348&as_sdt=2005&sciodt=0,,,
Pippenger's exponentiation algorithm,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.25.786,2002,45,0,1.4093E+19,None,http://scholar.google.com/scholar?cites=14092972285251406176&as_sdt=2005&sciodt=0,,,
Proving primality after Agrawal-Kayal-Saxena,http://www.dm.unito.it/~cerruti/ac/bernstein-aks.pdf,2003,43,3,1.14879E+19,http://www.dm.unito.it/~cerruti/ac/bernstein-aks.pdf,http://scholar.google.com/scholar?cites=11487875762652313810&as_sdt=2005&sciodt=0,,,
Removing redundancy in high-precision Newton iteration,http://cr.yp.to/fastnewton/fastnewton-20040309.pdf,2004,18,6,1.41373E+19,http://cr.yp.to/fastnewton/fastnewton-20040309.pdf,http://scholar.google.com/scholar?cites=14137349314204461751&as_sdt=2005&sciodt=0,,,
Understanding brute force,None,2005,21,11,5.85389E+18,None,http://scholar.google.com/scholar?cites=5853888785503640377&as_sdt=2005&sciodt=0,,,
The Poly1305-AES message-authentication code,http://link.springer.com/chapter/10.1007/11502760_3,2005,117,20,1.15212E+18,None,http://scholar.google.com/scholar?cites=1152116581640817931&as_sdt=2005&sciodt=0,,,
Stronger security bounds for Wegman-Carter-Shoup authenticators,http://link.springer.com/chapter/10.1007/11426639_10,2005,36,20,6.27687E+18,None,http://scholar.google.com/scholar?cites=6276868332682224745&as_sdt=2005&sciodt=0,,,
Salsa20 specification,http://cr.yp.to/snuffle/spec.pdf,2005,21,3,9.71674E+18,http://cr.yp.to/snuffle/spec.pdf,http://scholar.google.com/scholar?cites=9716742610987757562&as_sdt=2005&sciodt=0,,,
Salsa20,None,2005,34,0,9.62143E+18,None,http://scholar.google.com/scholar?cites=9621428747260123483&as_sdt=2005&sciodt=0,,,
Factoring into coprimes in essentially linear time,http://www.sciencedirect.com/science/article/pii/S0196677404000732,2005,34,13,1.39385E+19,None,http://scholar.google.com/scholar?cites=13938469549185274441&as_sdt=2005&sciodt=0,,,
Cache-timing attacks on AES,http://scraperproxy.d8tabit.net/cr.yp.to/antiforgery/cachetiming-20050414.pdf,2005,314,24,1.26945E+19,http://scraperproxy.d8tabit.net/cr.yp.to/antiforgery/cachetiming-20050414.pdf,http://scholar.google.com/scholar?cites=12694527333435458779&as_sdt=2005&sciodt=0,,,
Curve25519: new Diffie-Hellman speed records,http://link.springer.com/chapter/10.1007/11745853_14,2006,153,22,5.12595E+18,None,http://scholar.google.com/scholar?cites=5125948190741830038&as_sdt=2005&sciodt=0,,,
Inverted edwards coordinates,http://link.springer.com/chapter/10.1007/978-3-540-77224-8_4,2007,72,18,1.82888E+19,None,http://scholar.google.com/scholar?cites=18288780640863310369&as_sdt=2005&sciodt=0,,,
Faster addition and doubling on elliptic curves,http://link.springer.com/chapter/10.1007/978-3-540-76900-2_3,2007,259,33,1.35432E+19,None,http://scholar.google.com/scholar?cites=13543216421850188385&as_sdt=2005&sciodt=0,,,
Explicit-formulas database,None,2007,116,0,1.17135E+19,None,http://scholar.google.com/scholar?cites=11713528565994334538&as_sdt=2005&sciodt=0,,,
